file,category,name,tags,type,license,ppt_note
01_Perspective_MainChain_Gradient/gradient_mainchain_01.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_01,ridge; main chain; horizontal; right,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_02.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_02,ridge; main chain; horizontal; right,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_03.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_03,ridge; main chain; horizontal; right,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_04.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_04,ridge; main chain; horizontal; right,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_05.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_05,ridge; main chain; horizontal; right,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_06.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_06,ridge; main chain; horizontal; right,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_07.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_07,ridge; main chain; horizontal; right,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_08.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_08,ridge; main chain; horizontal; right,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_09.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_09,block arrow; right; ppt safe,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_10.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_10,block arrow; right; ppt safe,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_11.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_11,block arrow; left; ppt safe,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_12.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_12,block arrow; left; ppt safe,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_13.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_13,double ended; bidirectional; ppt safe,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_14.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_14,double ended; bidirectional; ppt safe,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_15.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_15,platform; upward; central peak; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_16.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_16,platform; upward; central peak; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_17.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_17,platform; upward; central peak; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_18.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_18,platform; upward; central peak; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_19.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_19,platform; upward; central peak; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_20.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_20,platform; upward; central peak; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_21.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_21,platform; upward; central peak; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_22.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_22,platform; upward; central peak; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_23.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_23,platform; downward; central drop; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_24.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_24,platform; downward; central drop; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_25.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_25,platform; downward; central drop; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
01_Perspective_MainChain_Gradient/gradient_mainchain_26.svg,01_Perspective_MainChain_Gradient,gradient_mainchain_26,platform; downward; central drop; architecture,svg,self-made / no third-party asset embedded,PPT可直接插入SVG；需要完全可编辑时，可在PPT中取消组合或另存后转换为形状。
